Name,Gender,Location
YIDNEKATCHEW,m,Amharic
YIRDAW,m,Amharic
YODIT,f,Ethiopian
YOHANA,m,Swahili
YOHANE,m,Swahili
YOHANNA,f,Amharic
YONASANI,m,Kiga
YOONIS,m,Somali
YOOXANAA,m,Somali
MATHIUS,m,Eastern African
MATIWOS,m,Ethiopian
MATULUMI,m,Kaguru
MAVUNO,m,Swahili
MAXAHMED,m,Somali
MAXAMAD,m,Somali
MAXAMUD,m,Somali
MAXAMUUD,m,Somali
MAXBUUB,m,Somali
MAYEN,m,Dinka
MAYGAAG,m,Somali
YORDANOS,f,Ethiopian
YORUSALEM,f,Tigrinya
YOSTIMA,f,Ethiopian
YOSUF,m,Amharic
YULITTA,f,Indonesian (Rare)
YUNA,f,Eastern African
ZAHNYA,f,Swahili
ZAHUR,m,Swahili
ZAITUN,f,Indonesian
ZAITUNI,f,Swahili
ZAKARYAS,m,Amharic
ZAKIYOS,m,Amharic
ZAMANU,m,Amharic
MAYOM,m,Dinka
MBILIME,f,Kaguru
MEBRAHTU,m,Tigrinya
MEBRATE,m,Amharic
MEDENE,m,Amharic
MEDIFERIASH-WORK,f,Amharic
MEDIUS,f,English (African)
MEJ,m,Gusii
MEKRE,m,Amharic
MELAKU,m,Ethiopian
MENELIK,m,Ge'ez
ZAMZAM,f,Arabic
ZANNABACH,f,Amharic
ZAWADI,f,Swahili
ZAWDITU,f,Amharic
ZAWE,f,Eastern African
ZAWEDDE,f,Eastern African
ZAZI,f,Eastern African
ZEFRIN,m,Eastern African (Rare)
ZEGEYE,m,Amharic
ZEITUNI,f,Eastern African
ZELLEKE,m,Amharic
ZENABU,m,Amharic
ZENDE,m,Swahili
MENGISTU,m,Eastern African
MESERET,f,Eastern African
MESFIN,m,Eastern African
MESHESHA,m,Amharic
MESI,f,Yao (Modern)
MESKEREM,f,Ethiopian
MIAZA,f,Ethiopian
MIESI,f,Yao
MINYAHIL,m,Amharic
MIRACH,m,Amharic
MISRAK,f,Ethiopian
ZENNASH,f,Amharic
ZEREBRUK,m,Ethiopian
ZERESENAY,m,Eastern African
ZEREZGHI,m,Ethiopian
ZERIHUN,m,Ethiopian
ZERJACOB,m,Ethiopian
ZEUDI,f,Tigrinya
ZEWDITU,f,Eastern African
ZINA,f,Amharic
ZUHRI,m,Swahili
MITIKU,m,Amharic
MKARKARA,f,Swahili
MOGAD,m,Amharic
MOGAS,m,Amharic
MOGES,m,Eastern African
MONYYAK,m,Dinka
MOORGAN,m,Somali
MPOKI,m,Nyakyusa
MRIHANI,f,Swahili
MUGENI,m,Kaguru
MUGOLI,m,Kaguru
MUHIYADIIN,m,Somali
ZULA,m,Tigrinya
ZUWENA,f,Swahili
ZWATIE,m,Swahili
MÚKABI,m,Kikuyu
MUKEJUWA,f,Kaguru
MULATU,m,Amharic
MULELE,m,African
MULKI,f,Somali
MULU,m,Amharic
MULUGETA,m,Amharic
MUMIMA,f,Somali
MUNGONGEGE,m,Nyakyusa
MUNYIKA,m,Kaguru
MURINGA,f,Kikuyu
MURUTHI,m,Kikuyu
MUSE,m,Somali
MUSIWANDA,m,Kaguru
MUSONGWE,m,Kaguru
MUSTAFE,m,Somali
MUSTAPHE,m,Somali
MUUSE,m,Somali
MUXAMMAD,m,Somali
MWAKATUMBULA,m,Nyakyusa
MWAMINI,f,Swahili
MWARA,f,Kikuyu
MWAURA,m,Kikuyu
MWESIGWA,m,Ganda
MWEZI,m,Swahili
NAALEEYE,m,Somali
NABIRYE,f,Eastern African
NADIFA,f,Somali
NAHOM,m,Eastern African
NAISENYA,f,Eastern African
NAJUMA,f,Swahili
NAKAAYA,f,Eastern African
NAKI,f,Swahili
NALA,f,African
FAHARI,m,Swahili
NANTIO,f,Eastern African
NARDOS,f,Ethiopian
NASHIPIE,f,Swahili
NASI,f,Amharic
NASTEEXO,f,Somali
NASTEHO,f,Somali
NATHARI,f,Swahili
NATNAEL,m,Eastern African
NAYFA,f,Swahili
NDABITI,m,Nyamwezi
NDIANE,m,Kaguru
NDIGWAKO,f,Nyakyusa
FAHMO,f,Somali
FAISA,f,Swahili
FANTA,f,African
FARAJA,f,Swahili
FARDOWSA,f,Somali
FARHIYA,f,Swahili
FARTUUN,f,Somali
FASIKA,m,Amharic
FASSIL,m,Amharic
FATUMA,f,Eastern African
NDIMBUNI,f,Nyakyusa
NEBIRI,f,Amharic
NEEMA,f,African
NEGASH,m,Amharic
NEGASI,m,Ethiopian
NEGATU,m,Amharic
NEGESE,m,Amharic
NEGEWO,m,Amharic
NEGUS,m,African American
NEGUSE,m,Amharic
NELAH,f,Swahili (Rare)
FEIVEN,f,Ethiopian
FEKER,f,Amharic
FELLEKE,m,Amharic
FEREDE,m,Amharic
FESSEHAYE,m,Tigrinya
FETENE,m,Amharic
FETERA,f,Amharic
FETHUDIN,m,Ethiopian
FEWESI,f,Amharic
FIKIRI,f,Amharic
FIKRE,f,Ethiopian
FIKRU,m,Amharic
NELUGENDO,f,Kaguru
NEMARIAM,m,Ethiopian
NESUHA,f,Ethiopian
NGAMIA,m,Swahili
NGENI,m,Swahili
NGHAMINYIGWE,m,Kaguru
NGHENAKWE,m,Kaguru
NGIGI,m,Kikuyu
NGOR,m,Dinka
NIARA,f,Eastern African
NIGESA,f,Swahili
NIMO,f,Somali
FILSAN,f,Somali (Rare)
FITSUM,m,Amharic
FRANKLINE,m,Eastern African (Rare)
FREYHIWOT,f,Ethiopian
FREZER,f,Amharic
FWAYA,m,Luo
GABRA,f,Ethiopian
GACAYTE,m,Somali
GADIID,m,Somali (Rare)
GAKUHĨ,f,Kikuyu
GALAYAX,m,Somali
NITZANA,f,Ethiopian
NIYOYITA,m,Rwandan
NJAU,m,Kikuyu
NJOKI,f,Kikuyu
NJOROGE,m,Kikuyu
NJOZI,f,Swahili
NOHAM,m,Tigrinya
NTARE,m,Rwandan
NTWALI,m,Rwandan
NUHU,m,Hausa
NURADIN,m,Arabic
GALBEYTE,m,Somali
GANZA,m,Rwandan
GARANG,m,Dinka
GASHAW,m,Amharic
GATHUA,m,Kikuyu
GEBIRE’LIWA,f,Amharic
NUUR,f,Arabic
NUUX,m,Somali
NWABUDIKE,m,African
NYABEEL,f,Nuer
NYABOKE,f,Gusii
NYAGŨRA,f,Kikuyu
NYAKERU,f,Kikuyu (Rare)
NYAMBUGI,f,Kikuyu
NYAMITI,f,Kaguru
NYAPAL,f,Nuer
GEBRE’ELWA,f,Amharic
GEDAMNESH,f,Ethiopian
GEEDI,m,Somali
GEESI,f,Somali
GELAGILE,m,Amharic
GELILA,f,Ethiopian
GEMECHU,m,Eastern African
GENAT,f,Amharic
GENET,f,Ethiopian
GENZEBE,f,Ethiopian
GETACHEW,m,Eastern African
NYARING,f,Dinka
NYARUAI,f,Kikuyu (Rare)
NYAWĨRA,f,Kikuyu
NYOKA,f,Literature
NYOKABI,f,Kikuyu (Archaic)
NYONI,f,Swahili
NYUKI,f,Swahili
OBIRI,m,Eastern African
ODUOR,m,Luo
OKOTH,m,Luo
OLOL,m,Somali
GETANEH,m,Amharic
GETHERA,f,Swahili
GIYORGIS,m,Amharic
GLOVANNA,f,Eastern African
GNET,f,Ethiopian (Modern)
GOLI,f,Kaguru
GOMA,f,Swahili
GORFU,m,Amharic
GOSHU,m,Amharic
GUDETA,m,Amharic
OLUOCH,m,Luo
ONDIEK,m,Luo
ONESMUS,m,Eastern African
ORERA,f,"English (Modern, Rare)"
OTIYA,m,Eastern African
OZORO,f,Eastern African
PAMBE,m,Eastern African
PANYA,f,Swahili
PASKALIA,f,Swahili
PAWLOS,m,Amharic
PETELU,m,Nyakyusa
GUDIT,f,Eastern African
GUENET,m,Amharic
GULED,m,Somali
GULED,m,Somali
GUOR,m,Eastern African
GUREY,m,Somali
GUULEED,m,Somali
HABEN,f,Tigrinya
HABIDO,f,Somali
HABON,f,Somali (Rare)
PROSCOVIA,f,English (African)
PROSSY,f,English (African)
PUMBAA,m,Popular Culture
QALANJO,m,Somali
QAMAAN,m,Somali
QORANE,m,Somali
RAAGE,m,Somali
RAAXO,f,Somali
RAFIKI,m,Eastern African
RAHWA,f,Tigrinya
RAILA,m,Luo
RAQIIYAA,f,Somali
HABSADE,m,Somali
HABTE,m,Ethiopian
HABTOM,m,Tigrinya (Modern)
HADITHI,m,Swahili
HADNET,f,Tigrinya
HAGOS,m,Tigrinya
HAIBA,f,Swahili
HAIL,m,Eastern African
HAILE,m,Ge'ez
HAILEMARIAM,m,Amharic
HAKIEM,m,Ethiopian
RAXMAAN,m,Somali
RAXMO,f,Somali
REABETSWE,f,Somali
REDA,m,Amharic
REDIE,m,Amharic
REHEMA,f,Eastern African
ROMODAN,m,Eastern African
ROOBLE,m,Somali
RUA,m,Swahili
RUBANI,m,Swahili
RUNGO,m,Swahili
SAARE,m,Tigrinya
HAKIZIMANA,m,Rwandan
HALIMO,f,Somali
HALISI,f,Swahili
HAMELMAL,f,Amharic
HANJA,f,Swahili
HARAMBEE,m,Swahili
HAWI,f,Ethiopian
HEKIMA,f,Swahili
HIBAAQ,f,Somali
HIBAQ,f,Somali
HIDAYA,f,Swahili
HIRSI,m,Somali
SABOLA,m,Yao
SACIID,m,Somali
SADAKA,m,Swahili
SADAO,f,Swahili
SADIKI,m,Swahili
SADOR,m,Ethiopian
SADORA,f,Ethiopian
SAFARI,f,Swahili
SAGAL,f,Somali
SAHRA,f,Somali
SAITI,m,Nyakyusa
HIRUTH,f,Ethiopian
HIWET,f,Amharic
HOODO,f,Somali
IBRAAHIIM,m,Somali
IBRAAHIM,m,Somali
IBRAAHIN,m,Somali (Archaic)
IBRAHIIM,m,Somali (Archaic)
IBSITUU,f,Eastern African
IDIL,f,Somali
IDILI,f,Amharic
IDIRIS,m,Somali
IFTIIN,f,Somali
SAKABEJU,f,Nyakyusa
SAKABWESYE,f,Nyakyusa
SAKALENGE,f,Nyakyusa
SAKARIYE,m,Somali
SALEEBAAN,m,Somali
SALUJOJA,f,Nyakyusa
SALUME,f,Nyakyusa
SAMAKAAB,m,Somali
SAMALASELE,f,Nyakyusa
SAMANYA,f,Kaguru
SAMATAR,m,Somali
IIMAAN,f,Somali
IMANZI,m,Rwandan
IMARA,f,Swahili
INIKU,f,Amharic
IRGETU,m,Amharic
ISAACK,m,Dutch
ISAAQ,m,Somali
ISACK,m,Eastern African
ISAYA,m,Swahili
ISAYYAS,m,Amharic
ISKINDER,m,Amharic
ISMAACIIL,m,Somali
SAMIIRO,f,Somali
SAMORA,m,Central African
SAMRAWIT,f,Ethiopian
SAMUU'EEL,m,Somali
SAMWELI,m,Swahili
SARABI,f,Swahili
SARAFINA,f,Swahili
SAUTI,f,Swahili
SCOVIA,f,English (African)
SEARE,m,"Ethiopian (Modern, Rare)"
SEBIE,f,Ethiopian
SEHIN,f,Amharic
ISMAHAN,f,Somali
ISSACK,m,Eastern African
ISSE,m,Somali
ISXAAQ,m,Somali
ITANYA,f,Swahili
ITURI,m,Swahili
ITYOPPYA,f,Amharic (Rare)
IYASSU,m,Ethiopian
IYASUS,m,Ethiopian
IYOB,m,Amharic
IZABELI,f,Amharic
JAAMAC,m,Somali
SEIF,m,Arabic (Maghrebi)
SEKARYAAH,m,Somali
SELAM,f,Eastern African
SELAMAWIT,f,Amharic
SEMEGNE,m,Amharic
SEMERE,m,African
SEMHAR,f,Tigrinya
SEMIRA,f,Amharic
SENAI,m,Tigrinya
SENYAGWA,m,Kaguru
JAKUBU,m,Kikuyu
JAMA,m,Somali
JANA,f,Swahili
JASIRI,f,Swahili
JAWAAHIR,f,Somali
JEMAL,m,Abkhaz
JEMBER,f,Amharic
JEMERE,m,Amharic
JIBRIIL,m,Somali
SETUGNE,m,Amharic
SEYNAB,f,Somali
SEYOUM,m,Amharic
SHAADIYYA,f,Somali
SHACBAAN,m,Somali
SHANI,f,Swahili
SHAREU,m,Amharic
SHARIIF,m,Somali
SHARMAARKE,m,Somali
JIINOW,m,Somali
JINA,f,Swahili
JIRA,m,Ethiopian
JOHANI,m,Nyakyusa
JOHNSON,m,English
JOSEPHAT,m,Eastern African
JOSWA,m,Nyakyusa
JUDISHY,m,"Kikuyu (Anglicized, Rare)"
JUMA,m,Arabic
KAARI,f,Eastern African (Rare)
KABINDA,m,Luhya
SHARMARKE,m,Eastern African
SHARMARKE,m,Somali
SHEBASHI,m,Amharic
SHEEKH,m,Somali
SHERMARKE,m,Somali
SHIDA,m,Swahili
SHUMBUSHO,f,Rwandan
SIBAGEGE,f,Nyakyusa
SICIID,m,Somali
SIFA,m,Swahili
SILESHI,m,Ethiopian
SIMERA,f,Arabic
KADESHA,f,Swahili
KADIHUNGILA,m,Kaguru
KAHINU,m,Eastern African
KAKUJU,m,Nyakyusa
KAKWANZI,f,Tooro
KALIFA,f,Somali
KALKIDAN,f,Amharic
KALUWA,f,Swahili
KAMARI,m,Eastern African
SIMO,f,Kaguru
SINEDU,f,Eastern African
SINESA,f,Haya (Rare)
SINTAYEHU,f,Ethiopian
SISAYE,f,Amharic
SITOTA,m,Amharic
SIYADE,f,Ethiopian
SIYOUM,m,Amharic
SKOLASTIKA,f,Indonesian
SOFUYANIS,m,Ethiopian
SOLOMONI,m,Nyakyusa
SOOYAAN,m,Somali
KAOMBWE,f,Swahili
KARUGENDO,m,Haya
KASHANGAKI,m,Swahili
KASKAZI,f,Swahili
KATAVI,m,African
KAWESA,m,Ganda
KAYUMBA,m,Rwandan
KEBEDE,m,Eastern African
KEBERE,m,Amharic
KEBIRUNGI,f,Tooro
SUBILAGA,f,Nyakyusa
SUFYAAN,m,Somali
SUGAAL,m,Somali
SULEEKHA,f,Somali
SULEYMAAN,m,Somali
SUNGARA,f,Swahili
SUUBBAN,f,Somali
SUUBI,f,Eastern African
SWALA,f,Swahili
SYLIDIO,m,Eastern African
TABAN,m,Somali
TAFACHI,f,Amharic
TAFARRI,m,Amharic
KEBRA,f,Eastern African
KEENADIID,m,Somali
KEEYNAAN,m,Somali
KEITA,m,Eastern African
KELEMI,f,Amharic
KENENISA,m,Ethiopian
KENNA,m,Ethiopian
KENYATTA,f,African American
KENYETTA,f,Eastern African
KERUBO,f,Gusii
KHAALID,m,Somali
TAITU,f,Ethiopian
TAKATIFU,m,Swahili
TAKOLA,m,Amharic
TAMASGAN,m,Amharic
TAMBIKA,f,Swahili
TAMIRAT,m,Amharic
TAMRE,m,Amharic
TAMU,f,Swahili
TASFAYE,m,Amharic
TASHOME,m,Ethiopian
KHADIIJA,f,Somali
KHADRA,f,Somali
KHALIF,m,Arabic
KIAH,f,Swahili
KIAPO,m,Swahili
KIBAFUPIA,f,Swahili
KIBIBI,f,Swahili
KIBRIYE,m,Amharic
KIBURI,f,Swahili
KIJANA,m,Swahili
KIJANI,m,Swahili
KILASA,f,Nyakyusa
TA-TANISHA,f,Swahili
TATU,m,Swahili
TAVAVICH,f,Amharic
